,apply,intel,sat,diff,grade,letter,job
0,0,0,0,0,2,0,0
1,1,0,0,1,2,0,0
2,1,0,0,1,2,0,0
3,1,0,0,0,2,0,0
4,1,0,0,0,2,0,0
5,1,0,0,0,1,1,1
6,1,0,0,1,2,0,0
7,0,0,0,0,1,0,0
8,0,1,1,0,0,0,0
9,1,0,0,1,2,0,0
10,0,0,0,0,1,1,0
11,0,1,1,1,0,1,0
12,1,0,0,1,1,1,1
13,1,1,1,0,0,1,1
14,1,0,0,0,2,0,0
15,0,1,1,1,0,1,0
16,0,1,0,0,0,1,0
17,1,0,0,1,2,0,0
18,0,0,0,1,2,0,0
19,0,0,0,1,1,1,0
20,1,1,1,0,0,1,1
21,1,0,1,0,2,0,1
22,1,0,0,0,0,0,0
23,0,1,1,0,0,1,0
24,0,1,1,0,0,1,0
25,0,1,1,1,2,0,0
26,1,1,1,0,0,1,0
27,1,1,1,1,1,1,0
28,1,0,0,0,2,0,0
29,1,0,0,0,1,1,0
30,0,0,0,1,2,0,0
31,1,0,0,1,0,1,0
32,1,1,1,0,0,0,0
33,0,1,1,1,1,0,0
34,1,0,0,1,2,0,0
35,1,0,0,1,2,0,0
36,1,0,0,0,2,0,0
37,0,0,0,0,0,1,0
38,1,0,0,1,1,1,1
39,0,0,0,1,1,1,0
40,1,0,1,0,1,1,1
41,0,0,0,1,1,0,0
42,1,1,1,1,2,0,1
43,1,0,0,1,1,1,1
44,1,1,1,1,0,1,1
45,0,0,0,0,2,0,0
46,0,0,0,0,1,1,0
47,1,0,0,0,1,0,0
48,1,0,0,0,1,1,1
49,0,0,0,0,2,0,0
50,0,1,1,1,0,1,0
51,1,0,0,0,1,0,0
52,1,0,0,0,1,0,0
53,0,1,1,0,1,1,0
54,0,1,0,1,0,1,1
55,1,0,0,1,2,0,0
56,1,0,0,1,2,0,0
57,1,0,0,1,2,0,0
58,1,1,1,0,0,1,1
59,0,1,1,1,1,0,0
60,1,0,0,0,2,0,0
61,1,0,0,0,1,1,1
62,1,0,0,0,0,1,1
63,1,1,1,0,0,0,1
64,1,1,0,0,0,1,1
65,0,0,0,1,1,0,0
66,1,0,0,0,0,1,1
67,1,0,0,0,2,0,1
68,0,0,0,0,2,0,0
69,1,0,0,1,2,0,0
70,0,1,1,0,0,1,0
71,1,0,0,1,2,0,0
72,1,1,0,1,1,0,0
73,1,1,1,1,2,0,1
74,0,0,0,1,2,0,1
75,1,0,0,0,1,1,0
76,1,0,0,1,2,0,0
77,1,0,0,0,2,0,1
78,1,0,1,0,1,0,1
79,1,0,0,1,1,1,0
80,1,0,0,0,2,0,0
81,0,1,1,1,0,1,0
82,0,1,1,1,2,0,1
83,0,0,0,1,2,0,1
84,0,0,0,1,2,0,0
85,1,0,0,0,1,1,1
86,1,0,0,0,1,1,1
87,0,0,0,1,2,0,0
88,1,1,1,1,1,0,1
