,image_a,image_b,verify_ab,f1a,f2a,f3a,f4a,f5a,f6a,f7a,f8a,f9a,f1b,f2b,f3b,f4b,f5b,f6b,f7b,f8b,f9b
0,1377a_num1.png,1377b_num2.png,1.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0
1,1377a_num1.png,1377b_num1.png,1.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0
2,1377a_num1.png,1377c_num1.png,1.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0,2.0
3,1377a_num1.png,1377c_num2.png,1.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0,2.0
4,1377a_num1.png,1377a_num3.png,1.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0
5,1377a_num1.png,1377a_num2.png,1.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,0.0,2.0,2.0
6,0911b_num1.png,0911b_num2.png,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
7,0911b_num1.png,0911c_num4.png,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0
8,0911b_num1.png,0911c_num3.png,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0
9,0911b_num1.png,0911c_num2.png,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0
10,0911b_num1.png,0911b_num3.png,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
11,0911b_num1.png,0911b_num5.png,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
12,0911b_num1.png,0911b_num4.png,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
13,0911b_num1.png,0911c_num1.png,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0
14,0911b_num1.png,0911bb_num1.png,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
15,0911b_num1.png,0911cc_num1.png,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0
16,1370b_num2.png,1370a_num1.png,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0
17,1370b_num2.png,1370c_num2.png,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
18,1370b_num2.png,1370a_num3.png,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0
19,1370b_num2.png,1370a_num2.png,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0
20,1370b_num2.png,1370b_num1.png,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0
21,1370b_num2.png,1370c_num1.png,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
22,1271a_num3.png,1271b_num6.png,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0
23,1271a_num3.png,1271b_num5.png,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0
24,1271a_num3.png,1271b_num2.png,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0
25,1271a_num3.png,1271a_num5.png,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0
26,1271a_num3.png,1271c_num2.png,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
27,1271a_num3.png,1271a_num2.png,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0
