imagename,pen_pressure,letter_spacing,size,dimension,is_lowercase,is_continuous,slantness,tilt,entry_stroke_a,staff_of_a,formation_n,staff_of_d,exit_stroke_d,word_formation,constancy
0968c_num1.png,2,2,2,1,2,2,3,2,1,2,2,3,2,2,1
0809c_num2.png,2,2,2,2,2,2,3,1,1,2,2,3,1,2,2
0237b_num6.png,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
0069b_num2.png,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1
0966c_num4.png,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1316a_num2.png,2,2,1,1,2,2,3,1,1,2,2,2,3,2,2
1503c_num2.png,2,1,2,2,2,2,2,1,1,3,2,2,3,2,2
0113c_num1.png,2,3,2,2,2,1,2,1,1,1,2,2,2,2,2
0221a_num6.png,2,2,2,2,2,1,1,1,1,4,1,2,3,1,2
0068a_num4.png,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2
1094b_num1.png,2,3,1,1,2,2,2,1,1,1,1,3,2,1,1
0337c_num6.png,2,2,2,2,2,2,3,1,1,2,2,3,2,2,2
0837a_num4.png,2,2,2,2,2,2,1,1,1,3,2,2,1,2,2
0941b_num3.png,2,2,2,2,2,2,2,1,1,1,2,3,2,1,2
0260a_num3.png,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2
0598c_num4.png,1,3,2,2,1,1,2,1,1,1,2,1,1,2,2
0380a_num2.png,2,2,2,2,2,2,4,1,1,2,1,3,2,1,2
0384b_num2.png,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2
1224a_num3.png,2,2,2,2,2,2,1,1,1,4,1,3,2,2,2
1131b_num3.png,2,2,2,2,2,2,1,1,1,2,2,3,2,2,2
1393b_num1.png,1,3,2,1,2,2,2,1,1,2,1,3,2,1,2
0694b_num1.png,2,1,2,2,2,2,2,1,1,2,2,2,4,1,2
0480c_num1.png,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2
0304b_num1.png,1,2,3,2,2,2,2,2,1,2,2,2,2,1,2
1372b_num2.png,1,3,2,2,2,1,1,1,1,2,2,2,1,2,2
0338c_num1.png,1,2,2,2,2,2,1,1,1,4,2,3,1,2,2
1045a_num6.png,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2
0287a_num1.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,2
0352a_num3.png,1,1,2,2,2,2,2,2,2,1,2,3,2,1,1
1001a_num3.png,1,2,2,2,2,2,4,1,1,4,1,3,1,1,2
0004bb_num1.png,2,3,1,1,2,2,1,1,1,4,1,3,2,1,2
0828c_num1.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,2
0669c_num1.png,1,2,2,2,2,2,2,2,1,2,2,3,3,2,2
0598b_num2.png,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2
0676cc_num1.png,2,2,2,2,2,1,4,1,1,3,2,2,1,1,2
1140c_num1.png,2,2,3,2,2,2,1,1,1,2,2,2,2,1,2
1130c_num2.png,1,2,3,3,2,1,1,1,1,4,2,2,1,2,2
0505b_num1.png,2,2,3,2,2,1,1,1,1,2,2,2,1,1,2
0370c_num2.png,2,2,2,2,2,2,3,1,2,2,2,2,3,1,2
0085a_num1.png,1,3,2,2,2,1,1,1,1,2,2,1,1,1,2
0968a_num1.png,2,1,2,2,2,2,3,2,1,2,2,2,2,1,2
0038b_num5.png,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
1225a_num1.png,1,2,2,3,2,2,1,1,2,2,1,1,2,1,1
1216c_num3.png,2,3,2,2,2,1,1,1,1,4,2,3,2,1,2
0060a_num2.png,2,2,2,2,2,1,2,2,1,4,2,2,2,1,2
0503b_num2.png,1,2,2,2,2,2,2,1,1,1,2,3,3,1,2
0387a_num5.png,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2
0716a_num3.png,2,2,2,3,2,2,1,1,1,2,2,2,1,1,2
0616a_num1.png,2,1,2,2,2,2,3,2,2,3,2,3,2,1,2
0630a_num2.png,1,2,2,2,2,1,1,1,1,2,2,3,2,1,2
0748a_num2.png,1,2,2,2,2,1,2,1,1,4,2,2,4,1,2
1219c_num4.png,2,2,1,2,2,2,3,1,1,2,2,3,4,1,2
0461b_num3.png,2,2,2,3,2,2,3,1,1,2,2,3,4,2,2
0435b_num4.png,2,2,2,2,2,2,1,1,1,2,2,3,4,2,2
0314a_num2.png,2,2,2,2,2,2,3,1,1,2,2,2,2,1,2
0038a_num2.png,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2
1560a_num1.png,2,2,3,3,2,1,2,1,1,2,2,1,1,2,2
1049a_num1.png,1,2,2,2,2,2,1,1,1,4,2,2,2,1,1
0644c_num3.png,2,1,3,2,2,2,1,1,1,3,2,3,2,1,1
0105b_num1.png,1,2,3,2,2,1,2,1,1,2,1,2,1,1,2
1142c_num5.png,1,2,2,2,2,2,1,1,1,4,1,3,4,1,2
0809b_num2.png,2,2,2,2,2,2,1,1,1,3,2,3,4,1,2
1194c_num4.png,2,2,2,2,2,2,2,1,1,3,2,3,3,2,2
1556a_num6.png,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2
1270c_num4.png,1,3,3,3,2,1,1,1,1,4,2,2,1,1,2
1169c_num3.png,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1
0497a_num5.png,1,2,3,2,2,2,1,1,1,2,2,1,1,2,2
1196b_num1.png,2,2,2,2,2,2,1,2,1,2,2,3,4,2,2
0569a_num5.png,1,2,2,2,2,2,2,1,1,3,2,3,3,1,2
1166a_num2.png,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2
1358c_num1.png,2,3,1,2,2,2,3,1,1,1,1,3,3,1,2
0249b_num2.png,2,2,2,1,2,1,3,1,1,4,1,2,2,1,1
1413c_num1.png,2,2,2,2,2,2,1,1,1,2,2,3,3,1,2
0248b_num3.png,1,1,3,2,2,2,1,2,1,2,1,3,2,1,1
0256a_num3.png,1,1,1,2,2,2,1,2,1,1,1,3,3,1,2
0063a_num2.png,1,2,1,2,2,2,3,1,1,2,2,3,4,1,1
0550a_num2.png,2,3,1,1,2,2,2,2,1,2,1,2,2,1,1
0454b_num5.png,1,2,3,2,2,2,1,1,1,1,1,2,1,1,2
0560c_num4.png,1,1,2,2,2,1,2,1,1,2,2,3,4,2,2
0787b_num3.png,1,2,3,3,2,2,1,1,1,4,1,2,2,1,1
0608a_num4.png,2,2,1,1,2,2,1,1,1,4,2,3,3,1,2
0187b_num3.png,2,3,1,1,2,1,1,1,1,2,1,1,2,1,1
0895a_num1.png,1,3,2,2,2,1,1,1,1,4,2,2,1,1,2
1005a_num1.png,1,3,2,2,2,1,3,1,1,3,2,2,3,1,2
0035a_num1.png,2,3,2,3,2,2,2,2,1,2,2,3,1,1,2
1452c_num1.png,1,2,2,2,2,2,3,1,1,2,1,3,1,1,2
0397c_num6.png,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
0504b_num1.png,2,2,2,3,2,2,1,1,1,2,2,2,1,1,2
1109c_num5.png,2,2,2,2,2,2,1,1,1,2,2,3,4,2,2
1371a_num1.png,2,2,2,2,2,2,1,2,1,2,2,2,3,2,2
1029a_num1.png,2,2,2,2,2,2,1,1,1,3,2,3,4,2,2
0047b_num6.png,2,2,2,2,2,2,1,1,1,1,2,3,2,2,2
0891c_num3.png,2,2,2,2,2,2,2,1,1,2,2,3,4,2,2
1037b_num1.png,2,1,1,1,2,2,1,1,1,4,2,2,4,2,2
0636b_num3.png,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1
0348a_num4.png,1,1,3,3,2,1,1,1,1,2,2,3,4,2,2
0918c_num1.png,2,2,2,2,2,2,4,2,1,3,2,1,2,2,2
0864c_num1.png,2,2,2,2,2,2,1,1,1,2,2,2,4,2,1
0737c_num5.png,1,2,2,2,2,2,1,1,1,2,2,3,2,2,2
0587b_num5.png,2,2,2,2,2,2,1,1,1,2,1,3,2,1,1
0964b_num4.png,2,2,2,2,2,2,2,1,1,2,1,3,4,2,1
1152b_num1.png,1,2,2,2,2,2,2,1,1,2,1,3,2,2,1
0769b_num2.png,1,2,2,2,2,1,1,1,1,1,2,1,4,2,1
1143b_num1.png,1,1,3,3,2,2,1,1,1,1,2,3,2,2,2
0164a_num4.png,1,2,2,2,2,1,4,1,1,1,1,1,1,2,1
0062a_num1.png,1,2,2,2,2,2,2,1,1,2,1,2,4,1,1
0354c_num3.png,2,2,2,2,2,1,2,1,1,2,2,3,2,2,2
0342b_num1.png,2,2,2,2,2,2,2,1,1,2,2,1,4,2,2
0086b_num3.png,1,2,2,3,2,1,1,1,1,1,2,2,2,1,2
0257b_num1.png,1,2,2,1,2,2,3,2,1,2,1,3,2,1,2
1453a_num2.png,2,2,2,2,2,1,1,1,1,3,2,3,2,1,2
0949c_num4.png,2,3,2,1,2,2,1,1,1,1,1,1,1,1,2
0641c_num2.png,2,2,2,2,2,1,1,2,1,2,2,2,3,2,2
0180a_num3.png,2,1,3,3,2,1,1,1,1,2,2,1,1,1,2
1195a_num1.png,1,2,2,2,2,1,1,2,1,2,2,3,2,2,2
1445c_num1.png,2,3,1,1,2,2,3,1,1,2,2,3,3,1,2
0336c_num1.png,2,2,2,2,2,2,2,1,1,2,2,3,4,1,2
1516b_num1.png,2,2,2,2,2,2,3,1,1,2,1,3,2,1,1
0959a_num4.png,1,3,2,2,2,2,1,1,1,2,2,2,3,2,2
1194cc_num1.png,2,2,3,3,2,2,3,1,1,2,2,2,4,2,2
0578c_num5.png,1,2,3,2,2,1,1,1,1,2,2,1,1,2,2
0354c_num4.png,2,2,2,2,2,1,3,1,1,2,2,3,2,2,2
0413c_num1.png,2,3,2,2,2,2,3,2,1,2,2,3,1,1,2
1077b_num2.png,2,2,3,3,2,1,1,2,1,4,2,1,1,2,2
1387b_num1.png,2,3,3,3,2,1,1,1,1,2,2,2,1,2,2
0153a_num1.png,2,3,2,2,2,1,1,2,1,2,2,2,2,2,2
0534c_num5.png,1,3,2,2,2,1,1,1,1,2,2,2,2,2,2
0578b_num5.png,1,2,3,2,2,1,1,1,1,2,2,2,1,1,2
1250a_num1.png,1,3,2,2,2,2,1,1,1,2,2,2,2,2,2
